RNCP13873/RNCP36789;7532
RNCP13874/RNCP38318;9285
RNCP13876/RNCP36787;9379
RNCP13877/RNCP38385;11047
RNCP13889;7777
RNCP13905/RNCP36788;7304
RNCP13913/RNCP37233;8570
RNCP13916;9000
RNCP13921/RNCP38856;9186
RNCP13937/RNCP37235;10580
RNCP13948/RNCP36177/RNCP38661;9000
RNCP13950/RNCP38055;8992
RNCP13953;7600
RNCP13969;8280
RNCP13982;8100
RNCP13983;8055
RNCP13985/RNCP38866;7695
RNCP14032/RNCP38076;7633
RNCP14039/RNCP39155;7737
RNCP14054;9513
RNCP1406/RNCP36484;12273
RNCP14226;7000
RNCP14227/RNCP36659;11002
RNCP14279;10334
RNCP14291/RNCP36480;8172
RNCP14296;8460
RNCP14310;8190
RNCP14392/RNCP36501;8011
RNCP14394;7350
RNCP14440/RNCP37527;8718
RNCP14447/RNCP37267;7500
RNCP14467/RNCP39305;8920
RNCP14468;8856
RNCP14470/RNCP38095/RNCP39170;7425
RNCP14472/RNCP38190/RNCP39167;7740
RNCP14494/RNCP36288;8512
RNCP14506/RNCP36490;7000
RNCP14518/RNCP39663;6844
RNCP14521/RNCP36379;7400
RNCP14524;8997
RNCP14528/RNCP36631;8060
RNCP14529;8500
RNCP14588;7329
RNCP14592;6504
RNCP14624/RNCP36845;9231
RNCP14625/RNCP36861;9250
RNCP1475/RNCP36404;6873
RNCP1481/RNCP37436;8152
RNCP14853/RNCP37024;8399
RNCP14868/RNCP36429;10250
RNCP14889/RNCP38060/RNCP39303;7650
RNCP14890/RNCP38058/RNCP39555;9000
RNCP14891/RNCP38085/RNCP39166;8470
RNCP14893;9068
RNCP14899;8820
RNCP14900/RNCP37953;9814
RNCP14901/RNCP38499;13270
RNCP14922/RNCP38380;7740
RNCP14923/RNCP39156;23085
RNCP14957/RNCP37376;9038
RNCP14963;8717
RNCP14964/RNCP36526;8645
RNCP15009/RNCP39297;7219
RNCP15036;6750
RNCP15053/RNCP36527;9696
RNCP15065;7900
RNCP15066;8109
RNCP15074;7485
RNCP15076/RNCP39257;5943
RNCP15078/RNCP39381;6237
RNCP15128;8267
RNCP15129/RNCP38791;6840
RNCP15141/RNCP36910;7170
RNCP15152;6863
RNCP15156/RNCP39066;6246
RNCP15160/RNCP38948;8450
RNCP15162;8364
RNCP15238/RNCP39620;7830
RNCP15253/RNCP38461;7431
RNCP15263/RNCP36867;7459
RNCP15314;8750
RNCP15342;9094
RNCP15345;7908
RNCP15367/RNCP36627;8650
RNCP15368/RNCP36596;10800
RNCP15507/RNCP38657;7832
RNCP15509;6124
RNCP15516/RNCP36772;10497
RNCP15538/RNCP36818/RNCP37907;8707
RNCP15611/RNCP36936;7860
RNCP15612/RNCP38655/RNCP39685;7479
RNCP15613/RNCP36773;8091
RNCP15614/RNCP36937;13598
RNCP15638/RNCP38532;9157
RNCP15668/RNCP38652;8184
RNCP15669/RNCP38654/RNCP39686;7679
RNCP15672/RNCP38653;8861
RNCP15673/RNCP38352;8150
RNCP15674/RNCP38351;8025
RNCP15699/RNCP39341;10625
RNCP15745/RNCP38144;7326
RNCP15747/RNCP37511;6923
RNCP15762;7753
RNCP15782;9050
